,Unnamed: 0,FemaleNonSaudi,MaleNonSaudi,FemaleSaudi,MaleSaudi,neighbhood,nameAr,lat_max,lng_max,lat_min,lng_min,Teens,20s,30s,40s,50s,60s,total_labor,neighbhood_id,lat_center,lng_center
42,42,5458,12014,8680,10133,utaiqah,عتيقة,24.61689255,46.71254711,24.58539365,46.70377668,4502,7721,9301,5327,2690,1094,21416,157,24.6011431,46.708161895
43,43,19523,39770,10821,12781,manfuhah al jadidah,منفوحة الجديدة,24.62058384,46.72900867,24.60545282,46.71072801,10285,17640,21250,12170,6146,2501,48926,139,24.61301833,46.71986834
44,44,15211,22989,6980,7635,ghubairah,غبيرة,24.62984754,46.74807372,24.61056556,46.72605041,6553,11239,13539,7754,3915,1593,31172,124,24.62020655,46.737062065
45,45,12142,24609,7791,10463,al khalidiyah,الخالدية,24.63386269,46.76821179,24.61201744,46.7398755,6825,11705,14100,8075,4078,1659,32465,31,24.622940065,46.754043644999996
46,46,1272,8150,6456,7088,al faisaliyah,الفيصلية,24.6531993,46.80529,24.61517029,46.7606923,2849,4887,5887,3371,1702,692,13555,16,24.634184795,46.78299115
47,47,12212,18364,12235,15026,al yamamah,اليمامة,24.60690949,46.72568613,24.5847275,46.7073784,7176,12308,14827,8491,4288,1745,34136,73,24.595818495,46.716532265
48,48,10414,32931,8385,11638,manfuhah,منفوحة,24.61056556,46.73796516,24.58762235,46.72021629,7862,13485,16244,9303,4698,1912,37401,138,24.599093955,46.729090725000006
49,49,13206,15469,14928,15615,al mansurah,المنصورة,24.62162804,46.7659961,24.59391018,46.72900867,7348,12602,15181,8694,4390,1786,34951,42,24.60776911,46.747502385000004
50,50,796,939,892,1177,as safarat,السفارات,24.70355713,46.64014837,24.65937243,46.60914688,472,809,975,558,282,114,2245,101,24.68146478,46.624647624999994
51,51,1054,1391,1892,2764,al hada,الهدا,24.68655917,46.66789221,24.64056551,46.60498995,881,1511,1820,1042,526,214,4191,22,24.66356234,46.63644108
52,52,8283,12639,10907,12796,umm al hamam ash sharqi,ام الحمام الشرقي,24.70152887,46.66969644,24.67407889,46.65025512,5537,9496,11439,6551,3308,1346,26338,154,24.68780388,46.659975779999996
53,53,4361,9208,1276,1653,al madhar,المعذر,24.67517233,46.68565725,24.6561481,46.65323977,2047,3510,4229,2422,1223,497,9737,34,24.665660215,46.669448509999995
54,54,1255,1253,1434,1171,al mutamarat,المؤتمرات,24.67842978,46.69652091,24.66054713,46.67887014,634,1088,1310,750,379,154,3017,56,24.669488455,46.687695524999995
55,55,3931,6413,3697,5164,ash sharafiyah,الشرفية,24.67104975,46.67936304,24.64892885,46.65945447,2383,4087,4923,2819,1423,579,11335,110,24.6599893,46.669408755
56,56,2341,1801,1523,1453,ar rafiah,الرفيعة,24.65011324,46.6776259,24.62483212,46.64454466,883,1514,1824,1045,527,214,4201,90,24.637472680000002,46.66108528
57,57,1617,3214,1346,1843,an nasriyah,الناصرية,24.66054713,46.69359099,24.64248343,46.67060591,995,1706,2055,1177,594,241,4733,84,24.651515279999998,46.68209845
58,58,1867,2833,3622,4307,an namudhajiyah,النموذجية,24.66787099,46.70292598,24.64580927,46.68565725,1567,2687,3237,1854,936,381,7453,80,24.65684013,46.694291615
59,59,2113,2389,2739,3427,al fakhriyah,الفاخرية,24.6471816,46.6938822,24.63342568,46.67305974,1323,2270,2734,1566,790,321,6296,17,24.64030364,46.68347097
60,60,5268,7184,1848,3533,al wisham,الوشام,24.64986437,46.70455769,24.63666286,46.69338634,2212,3795,4571,2618,1322,538,10525,70,24.643263615000002,46.698972015
61,61,2655,5469,4218,5603,ilaishah,عليشة,24.64106726,46.69361747,24.62482461,46.67593686,2226,3818,4600,2634,1330,541,10591,126,24.632945935000002,46.684777165
62,62,7485,20354,3419,3923,umm salim,ام سليم,24.63735918,46.70536263,24.62944742,46.69302392,4365,7486,9018,5165,2608,1061,20764,155,24.6334033,46.699193275
63,63,7170,13018,8451,9329,al badiah,البديعة,24.62602421,46.69346105,24.60571214,46.6701966,4711,8079,9733,5574,2815,1145,22409,11,24.615868175000003,46.681828825
64,64,6688,7649,8733,8544,al jaradiyah,الجرادية,24.62670981,46.70753474,24.60975388,46.69196738,3922,6727,8104,4641,2344,953,18659,29,24.618231845,46.69975106
65,65,8027,26093,6580,6992,ash shimaisi,الشميسي,24.63066084,46.70727201,24.61689255,46.69292076,5917,10149,12226,7002,3536,1439,28148,113,24.623776695,46.700096384999995
66,66,730,1429,612,708,siyah,صياح,24.61383049,46.70774112,24.60154336,46.69636921,431,740,891,510,257,104,2053,146,24.607686925000003,46.702055165000004
67,67,3744,4575,5627,6460,an nakhil,النخيل,24.76062183,46.65621952,24.72346647,46.59118445,2532,4342,5231,2996,1512,615,12044,79,24.74204415,46.623701985
68,68,1414,5307,4453,6064,king saud university,جامعة الملك سعود,24.74378827,46.64752226,24.70355713,46.60284675,2138,3668,4419,2530,1278,520,10174,136,24.7236727,46.625184505
69,69,2834,2996,8538,9533,al muhammadiyah,المحمدية,24.74416305,46.66468612,24.72014501,46.63433832,2965,5086,6127,3509,1772,721,14106,51,24.73215403,46.64951222
70,70,1838,3003,3438,4686,ar raid,الرائد,24.72014501,46.65312957,24.69383426,46.62393166,1608,2759,3323,1903,961,391,7652,92,24.706989635,46.63853061499999
71,71,1939,2405,4284,4721,ar rahmaniyah,الرحمانية,24.72740059,46.67265439,24.70335646,46.64752226,1656,2840,3422,1959,989,402,7878,91,24.715378525,46.660088325000004
72,72,11757,19688,12183,13243,umm al hamam al gharbi,ام الحمام الغربي,24.70405059,46.6577141,24.67418645,46.63050855,7056,12102,14579,8349,4216,1716,33566,153,24.68911852,46.644111325
73,73,2586,3856,5044,5853,al madhar ash shamali,المعذر الشمالي,24.70806022,46.67907524,24.6745293,46.65476604,2151,3689,4444,2545,1285,523,10233,35,24.691294759999998,46.66692064
74,74,79,4234,1010,1211,al qirawan,القيروان,24.95041792,46.61482538,24.79637715,46.49768078,810,1390,1675,959,484,197,3856,58,24.873397535000002,46.556253080000005
75,75,984,9087,3452,4332,al malqa,الملقا,24.82620534,46.63141942,24.77442759,46.5655926,2215,3799,4577,2621,1323,538,10538,39,24.800316465,46.59850601
76,76,1814,3895,3188,3389,hittin,حطين,24.78579063,46.63005538,24.73596,46.57327212,1524,2614,3149,1803,910,370,7251,125,24.760875315,46.60166375
77,77,3499,5725,11105,11715,al aqiq,العقيق,24.79333684,46.64791074,24.75301102,46.61344663,3976,6819,8214,4704,2375,966,18913,8,24.77317393,46.630678685
78,78,18,3109,278,154,al arid,العارض,24.97041041,46.65403318,24.82620534,46.5517173,441,757,912,522,263,107,2100,9,24.898307875,46.60287524
79,79,124,1676,490,192,an narjis,النرجس,24.97967194,46.70182688,24.80989579,46.58884073,307,528,636,364,184,74,1464,81,24.894783865,46.645333805
80,80,1029,3222,2926,2973,al yasmin,الياسمين,24.84266465,46.67053265,24.80022902,46.61482538,1259,2160,2602,1490,752,306,5990,75,24.821446835,46.642679015
81,81,3198,4488,8099,7963,as sahafah,الصحافة,24.81872032,46.6536559,24.77331735,46.62311412,2946,5053,6087,3486,1760,716,14016,102,24.796018834999998,46.63838500999999
82,82,2049,2588,4701,4924,ar rabi,الربيع,24.80989579,46.67872784,24.77895783,46.64405872,1769,3035,3656,2093,1057,430,8417,88,24.794426809999997,46.66139328
83,83,1602,3882,679,430,an nada,الندى,24.81745489,46.69674786,24.79351508,46.67053265,818,1403,1690,967,488,198,3891,76,24.805484985,46.683640255
84,84,665,4775,1752,3327,al imam university,جامعة الامام,24.82521585,46.71934525,24.80110004,46.68843551,1305,2238,2696,1544,779,317,6208,25,24.813157945,46.703890380000004
85,85,2416,2843,4834,4772,al ghadir,الغدير,24.78595724,46.66904529,24.76062183,46.64147871,1844,3163,3810,2182,1102,448,8773,21,24.773289535,46.655262
86,86,2833,4363,6637,6092,an nafl,النفل,24.79351508,46.6870564,24.76953391,46.66082757,2472,4240,5107,2925,1477,601,11760,77,24.781524495,46.673941985
87,87,3285,4730,8709,9012,al wadi,الوادي,24.80110004,46.70501527,24.77711706,46.67872784,3193,5476,6597,3778,1908,776,15189,67,24.78910855,46.691871555
88,88,1863,3138,5399,5567,al falah,الفلاح,24.80869932,46.72298311,24.78468623,46.69674786,1981,3397,4093,2344,1183,481,9424,18,24.796692774999997,46.709865485
89,89,626,15374,1010,1506,ar rimal,الرمال,25.021731,46.8517388,24.82239553,46.66820375,2297,3940,4746,2718,1372,558,10928,96,24.922063265,46.759971275
90,90,2709,5180,7758,7055,qurtubah,قرطبة,24.83996537,46.75864314,24.79223997,46.71428534,2816,4831,5819,3333,1683,685,13399,143,24.81610267,46.736464240000004
91,91,385,5813,4658,3950,al munsiyah,المونسية,24.85746494,46.79456152,24.80721611,46.74321412,1837,3150,3795,2173,1097,446,8738,52,24.832340525,46.76888782
92,92,2861,5377,7779,6504,ghirnatah,غرناطة,24.8072841,46.7670019,24.7833715,46.7409142,2794,4792,5773,3306,1669,679,13292,123,24.795327800000003,46.753958049999994
93,93,3222,8771,15672,13160,al yarmuk,اليرموك,24.82407557,46.80956321,24.79086021,46.75880417,5065,8687,10465,5993,3026,1231,24095,74,24.80746789,46.78418369
94,94,205,4698,3272,2923,al qadisiyah,القادسية,24.83907494,46.85063883,24.79979598,46.79855128,1377,2361,2845,1629,822,334,6550,57,24.81943546,46.824595055
95,95,2650,13006,8791,9658,al janadriyah,الجنادرية,24.94454777,46.99848744,24.78700609,46.8464589,4231,7257,8743,5007,2528,1029,20129,28,24.86577693,46.92247317
96,96,3667,5880,13778,12173,al hamra,الحمراء,24.79086021,46.77709671,24.75947838,46.73128175,4404,7554,9100,5211,2631,1071,20951,23,24.775169295,46.75418923
97,97,5912,7994,16026,15824,ishbiliyah,اشبيلية,24.80888958,46.81868016,24.7759624,46.7670019,5677,9737,11729,6717,3392,1380,27006,127,24.792425989999998,46.79284103
98,98,3653,4415,17097,17091,al quds,القدس,24.76732699,46.77065769,24.73970216,46.73955826,5243,8992,10832,6204,3133,1275,24940,59,24.753514575,46.755107975
99,99,7098,11778,23629,23401,king faisal,الملك فيصل,24.7759624,46.79089138,24.74666738,46.75982297,8177,14025,16895,9676,4886,1988,38899,134,24.76131489,46.775357174999996
100,100,7402,13458,36403,33584,al khalij,الخليج,24.79638601,46.83008947,24.7563971,46.77709671,11272,19333,23289,13338,6735,2741,53620,32,24.776391555,46.80359309
101,101,364,3199,5035,9593,al maizilah,المعيزلة,24.81818552,46.86037805,24.76452665,46.8161803,2257,3871,4663,2670,1348,548,10736,37,24.791356085,46.838279175
102,102,11952,16659,25350,28253,ar rawdah,الروضة,24.75280101,46.78770134,24.71413811,46.74952103,10201,17495,21076,12070,6095,2480,48524,94,24.73346956,46.768611185
103,103,5036,5943,11988,12501,al andalus,الاندلس,24.7563971,46.80332068,24.72988762,46.77521213,4401,7547,9092,5207,2629,1070,20934,7,24.74314236,46.789266405
104,104,8021,14456,32520,33755,an nahdah,النهضة,24.78075633,46.84195892,24.73959735,46.79089136,11012,18887,22752,13030,6580,2677,52383,78,24.76017684,46.81642514000001
105,105,4695,5385,12510,13771,ar rayan,الريان,24.72754774,46.79543084,24.69431848,46.76248255,4511,7737,9321,5338,2695,1097,21461,95,24.71093311,46.778956695000005
106,106,2806,4312,8581,9860,al manar,المنار,24.73777748,46.81185013,24.71214801,46.78399157,3171,5439,6552,3752,1895,771,15085,41,24.724962745,46.79792085
107,107,19093,35608,59392,61884,an nasim al gharbi,النسيم الغربي,24.75051359,46.84885949,24.70009307,46.80041077,21835,37449,45113,25836,13047,5309,103865,82,24.725303330000003,46.824635130000004
108,108,7917,25686,48513,54288,an nasim ash sharqi,النسيم الشرقي,24.76452665,46.87038725,24.71281834,46.82088841,16925,29028,34968,20026,10113,4115,80508,83,24.738672495,46.84563783
109,109,2299,3791,5124,6621,ar rimayah,الرماية,24.79602574,46.90655497,24.74389709,46.84195894,2213,3795,4572,2618,1322,538,10526,97,24.769961415,46.874256955
110,110,4378,11466,35836,38944,an nazim,النظيم,24.82751747,46.91776346,24.77236031,46.86226813,11244,19285,23232,13305,6719,2734,53488,85,24.79993889,46.890015795
111,111,7539,8899,21588,19092,ar rawabi,الروابي,24.71214801,46.81016003,24.67924877,46.77416192,7087,12155,14642,8386,4234,1723,33712,93,24.69569839,46.792160975
112,112,3555,4920,18023,20772,al jazirah,الجزيرة,24.68571142,46.81594962,24.64294953,46.77825155,5865,10059,12118,6940,3504,1426,27899,30,24.664330475,46.797100584999995
113,113,4349,9440,18511,14769,al faiha,الفيحاء,24.69554483,46.8277192,24.66752894,46.79664785,5840,10016,12066,6910,3489,1420,27781,15,24.681536885,46.812183524999995
114,114,3467,24163,16635,15354,as saadah,السعادة,24.71716608,46.85651778,24.67728871,46.81744291,7397,12687,15283,8753,4420,1798,35188,99,24.697227395,46.836980345
115,115,303,27924,6750,8832,as sulai,السلي,24.69083821,46.90723893,24.61651991,46.80696009,5435,9322,11230,6432,3248,1321,25857,106,24.65367906,46.85709951
116,116,470,9667,3101,3538,al manakh,المناخ,24.62943985,46.84901772,24.5870837,46.7659961,2081,3570,4300,2463,1243,506,9901,40,24.608261775000003,46.80750691
117,117,19,8723,280,472,an nur,النور,24.65148928,46.83569849,24.61152015,46.79776042,1178,2020,2433,1393,703,286,5603,86,24.631504715,46.816729455
118,118,198,2009,3215,3360,ad difa,الدفاع,24.5980197,46.85665038,24.57321413,46.80942494,1089,1868,2251,1289,651,264,5183,1,24.585616915,46.83303766
119,119,2100,2218,16307,19704,al iskan,الاسكان,24.58886139,46.86973662,24.55821483,46.82711761,5004,8582,10338,5921,2990,1216,23803,26,24.57353811,46.848427115
120,120,446,48289,1158,2686,new industrial area,المدينة الصناعية الجديدة,24.58581049,46.94727975,24.50222656,46.85058956,6524,11189,13479,7719,3898,1586,31033,142,24.544018525,46.898934655000005
121,121,13973,29301,29835,28210,al aziziyah,العزيزية,24.61201744,46.80942494,24.56101934,46.73796516,12572,21561,25973,14875,7512,3057,59800,10,24.586518390000002,46.77369505
122,122,2872,9301,16826,17022,ad dar al baida,الدار البيضاء,24.5870837,46.82711761,24.54215548,46.75874644,5710,9793,11797,6756,3412,1388,27162,0,24.56461959,46.792932025
123,123,152,3514,553,211,mansuriyah,المنصورية,24.55476043,46.83517629,24.48297284,46.7697823,549,942,1135,650,328,133,2614,140,24.518866635000002,46.802479295
124,124,77,2663,267,348,taibah,طيبة,24.57321413,46.86558663,24.50956675,46.79641539,416,713,860,492,248,101,1980,149,24.54139044,46.83100101
125,125,46,2404,1526,2409,al misfat,المصفاة,24.54861059,46.89859315,24.49741242,46.8433676,792,1358,1636,937,473,192,3768,48,24.523011505,46.870980375
126,126,5834,6045,31915,37667,ash shifa,الشفا,24.5856083,46.72423715,24.54364387,46.67542289,10107,17335,20883,11960,6039,2457,48080,112,24.564626085,46.69983002
127,127,272,11658,803,780,al masani,المصانع,24.59391018,46.77900193,24.50853734,46.7111258,1676,2875,3464,1983,1001,407,7975,45,24.55122376,46.745063865
128,128,1167,4501,7507,6415,al marwah,المروة,24.55606169,46.69337632,24.52449888,46.65964749,2430,4168,5022,2876,1452,591,11562,44,24.540280285,46.676511905
129,129,6095,19372,33127,31305,badr,بدر,24.56980631,46.78422406,24.4945984,46.67788725,11155,19131,23046,13198,6665,2712,53060,117,24.532202355000003,46.731055655
130,130,459,677,2577,1955,uqaz,عكاظ,24.53701592,46.70253674,24.48848426,46.63700555,703,1206,1453,832,420,171,3345,156,24.51275009,46.669771145
131,131,94,277,1620,3203,uhud,احد,24.50715633,46.65581665,24.47200884,46.61532156,644,1105,1331,762,385,156,3065,152,24.489582585,46.635569105
132,132,7,734,252,448,areed,عريض,24.50321138,46.83204255,24.38461555,46.61108857,178,306,369,211,106,43,850,98,24.443913465,46.72156556
133,133,5351,9936,59535,60204,al uraija al gharbiyah,العريجاء الغربية,24.61832088,46.62503827,24.5725749,46.57578947,16754,28734,34615,19824,10011,4074,79695,65,24.59544789,46.60041387
134,134,4465,7420,29221,31158,al uraija al wusta,العريجاء الوسطى,24.6191072,46.67084628,24.59039919,46.61238611,8966,15378,18525,10609,5357,2180,42651,66,24.604753195,46.641616195
135,135,1236,3329,2807,3782,al uraija,العريجاء,24.63573033,46.67386648,24.61522071,46.64032812,1384,2373,2859,1637,827,336,6583,64,24.625475520000002,46.657097300000004
136,136,5058,5982,22491,24998,dhahrat al badiah,ظهرة البديعة,24.61341852,46.68669295,24.58004447,46.62344774,7262,12455,15004,8593,4339,1766,34545,119,24.596731495,46.655070345
137,137,2881,3225,22632,22708,as suwaidi al gharbi,السويدي الغربي,24.58823223,46.64517651,24.5598345,46.60571524,6383,10948,13188,7553,3814,1552,30364,109,24.574033365,46.625445875
138,138,3821,7376,24473,25918,az zahrah,الزهرة,24.59201431,46.66195822,24.56456175,46.6310311,7642,13106,15788,9042,4566,1858,36350,116,24.57828803,46.64649466
139,139,5522,6859,23804,29057,as suwaidi,السويدي,24.60426417,46.70725719,24.57652088,46.6526849,8095,13884,16725,9578,4837,1968,38507,108,24.590392525,46.679971045
140,140,3431,7127,10337,10069,sultanah,سلطانة,24.61680728,46.70040141,24.5951506,46.67896612,3842,6589,7937,4546,2295,934,18275,148,24.60597894,46.689683765
141,141,4195,3835,20106,21936,shubra,شبرا,24.59619181,46.695195,24.56072805,46.64237495,6213,10655,12836,7351,3712,1510,29553,145,24.57845993,46.668784974999994
142,142,1017,1508,2853,2904,ad duraihimiyah,الدريهمية,24.5957418,46.70597407,24.58244018,46.68604982,1027,1762,2123,1215,614,249,4888,4,24.58909099,46.696011945
143,143,3523,11752,62684,65533,tuwaiq,طويق,24.61126036,46.59603309,24.52380497,46.440261,17805,30536,36785,21067,10639,4329,84692,151,24.567532665,46.518147045
144,144,126,2529,1207,1701,dhahrat namar,ظهرة نمار,24.576382,46.64756368,24.54406277,46.58053073,690,1183,1426,816,412,167,3283,121,24.560222385,46.614047205
145,145,740,1440,12227,12599,dirab,ديراب,24.53807494,46.64587848,24.48188109,46.59405982,3351,5747,6923,3965,2002,814,15939,122,24.509978015,46.61996915
146,146,768,2538,5954,5905,al hazm,الحزم,24.56940656,46.67639012,24.51666263,46.62332166,1881,3227,3887,2226,1124,457,8950,24,24.543034595,46.64985589
147,147,1373,1994,5724,6443,namar,نمار,24.58577676,46.70597407,24.55694985,46.66719402,1927,3305,3982,2280,1151,468,9168,141,24.571363305,46.686584045000004
148,148,1747,2073,3400,3733,al khuzama,الخزامى,24.73596,46.62393166,24.69092345,46.56919207,1359,2330,2807,1608,812,330,6464,33,24.713441725,46.596561865
149,149,1163,6077,11142,15553,dhahrat laban,ظهرة لبن,24.66286998,46.60498995,24.5973717,46.45747695,4210,7221,8699,4982,2516,1023,20029,120,24.63012084,46.53123345
150,150,1005,41887,3530,3367,king khalid airport,مطار الملك خالد,25.02039201,46.80535359,24.81855605,46.59555686,6178,10595,12763,7310,3691,1502,29386,135,24.91947403,46.700455225
151,151,1794,2866,29863,38313,khashm al an,خشم العان,24.76270649,47.00850082,24.56833352,46.85586893,9037,15500,18672,10693,5400,2197,42989,130,24.665520004999998,46.932184875000004
152,152,5382,9292,864,1100,skirinah,سكيرينة,24.62011486,46.72184348,24.61193642,46.71500306,2064,3540,4265,2442,1233,502,9820,147,24.61602564,46.71842327
153,153,1170,1861,3609,3476,laban,لبن,24.65658001,46.65157764,24.60016054,46.56407252,1255,2152,2593,1485,750,305,5970,137,24.628370275,46.60782508
154,154,275,528,7805,9947,dahiat namar,ضاحية نمار,24.55426126,46.64801065,24.43021084,46.41399159,2302,3948,4756,2724,1375,559,10951,118,24.492236050000002,46.53100112
155,155,2,1966,144,185,ash sharq,الشرق,24.9812652,47.02152082,24.83907494,46.83477195,285,488,588,337,170,69,1355,111,24.91017007,46.928146385
156,156,17,191,902,1159,al mahdiyah,المهدية,24.67553869,46.60558671,24.61842469,46.46633624,281,482,581,333,168,68,1339,36,24.64698169,46.53596147499999
157,157,2441,3781,6419,6411,al shohada,الشهداء,24.79977218,46.74921308,24.77580184,46.72298311,2364,4054,4884,2797,1412,574,11244,61,24.787787010000002,46.736098095
158,158,353,1106,163,152,al dho,الدحو,24.63071612,46.71693292,24.62751248,46.71281863,220,377,454,260,131,53,1047,14,24.629114299999998,46.714875774999996
159,159,245,1019,2532,2554,al bariah,البرية,24.59585226,47.0089051,24.49915745,46.86973662,787,1351,1627,932,470,191,3747,12,24.547504855,46.939320859999995
