,neighbhood,nameAr,lat,lng,types,rating,user_ratings_total,delivery,dine_in,isLoved,schoolNum,companieNum,officeNum,HotelNum,parksNum,isSuccessful,neighbhood_id,CompNum
395,siyah,صياح,24.6023854,46.7028148,Coffee,4,471,False,False,1,20,8,8,4,6,0,82,9
396,king saud university,جامعة الملك سعود,24.73743,46.6090483,Coffee,4,474,True,True,1,12,15,10,5,7,0,18,15
397,king abdul aziz,الملك عبدالعزيز,24.6960809,46.7288974,Coffee,4,183,False,True,0,19,20,12,15,5,0,31,7
398,al masani,المصانع,24.5908125,46.7441875,Restaurants,4,182,True,True,1,14,18,16,17,1,0,76,21
399,al mughrizat,المغرزات,24.7578349,46.7188149,Coffee,4,475,True,True,1,20,20,9,20,8,0,118,44
400,al marwah,المروة,24.546849,46.6660759,Restaurants,4,475,True,True,1,13,6,5,8,2,0,63,18
401,ar rimal,الرمال,24.8303588,46.8113424,Coffee,4,476,True,True,1,12,14,3,17,3,0,38,6
402,al futah,الفوطة,24.6389987,46.7164071,Restaurants,3,477,True,True,1,20,20,20,17,14,1,26,26
403,al malqa,الملقا,24.7800072,46.616193,Restaurants,4,181,False,True,0,20,20,12,16,10,1,115,14
404,al mahdiyah,المهدية,24.6369378,46.53549659999999,Restaurants,3,950,True,True,0,20,11,1,7,0,0,24,21
405,al andalus,الاندلس,24.7530031,46.7845699,Restaurants,3,181,True,True,1,20,7,8,5,9,0,64,18
406,dhahrat namar,ظهرة نمار,24.5702945,46.6141774,Restaurants,4,483,False,True,1,20,14,8,14,3,0,21,13
407,al munsiyah,المونسية,24.8142104,46.7717512,Coffee,4,181,True,True,1,20,19,15,20,3,0,85,10
408,al wahah,الواحة,24.7455023,46.7236311,Restaurants,4,180,True,True,1,12,19,5,13,8,0,37,25
409,ishbiliyah,اشبيلية,24.7794915,46.7884435,Restaurants,3,486,True,True,1,20,7,9,15,8,0,74,23
410,al yarmuk,اليرموك,24.8026881,46.79255440000001,Restaurants,4,488,True,True,1,20,20,12,20,3,0,117,8
411,al uraija al gharbiyah,العريجاء الغربية,24.5874945,46.6231786,Restaurants,4,179,True,True,1,20,10,9,3,3,0,33,11
412,ar rabi,الربيع,24.786508,46.65852539999999,Coffee,4,178,True,True,0,20,20,14,12,9,1,25,30
413,al ulaya,العليا,24.7102193,46.68550889999999,Coffee,4,177,False,True,0,20,20,20,20,6,1,94,41
414,al malaz,الملز,24.6710658,46.7306635,Restaurants,3,177,True,True,0,20,20,20,20,7,1,64,19
415,al malaz,الملز,24.670114,46.73718,Coffee,4,489,True,True,1,20,20,20,20,9,1,81,19
416,ad dar al baida,الدار البيضاء,24.5737107,46.7682985,Restaurants,3,490,True,True,1,20,4,3,9,3,0,68,14
417,tuwaiq,طويق,24.5686127,46.5265643,Coffee,4,493,False,True,1,20,9,9,3,2,0,74,13
418,al badiah,البديعة,24.6232227,46.6891334,Restaurants,3,177,True,True,1,20,6,6,11,9,0,74,19
419,umm salim,ام سليم,24.6297649,46.6932032,Restaurants,3,176,True,True,1,20,10,11,12,11,0,36,20
420,ar rimal,الرمال,24.8289737,46.81079099999999,Coffee,4,176,True,True,1,13,15,3,18,3,0,78,6
421,sultanah,سلطانة,24.5986954,46.6894285,Restaurants,3,496,True,True,1,20,6,14,4,8,0,100,11
422,dhahrat namar,ظهرة نمار,24.5649532,46.6292795,Coffee,4,176,True,True,1,20,13,6,12,3,0,48,23
423,an nasim al gharbi,النسيم الغربي,24.7006449,46.8356892,Coffee,4,175,True,True,0,20,10,6,5,2,0,95,13
424,al ulaya,العليا,24.6755451,46.67584129999999,Coffee,4,497,False,True,1,16,20,12,20,5,1,95,24
425,taibah,طيبة,24.5598052,46.8632575,Restaurants,3,501,True,True,1,17,18,2,0,6,0,35,2
426,al ulaya,العليا,24.7006618,46.6733822,Coffee,4,502,True,True,1,20,20,20,20,5,1,48,46
427,as safarat,السفارات,24.6670207,46.6260482,Restaurants,4,502,False,True,1,7,5,6,7,15,0,56,28
428,al andalus,الاندلس,24.7299424,46.7877878,Coffee,4,175,True,True,0,20,14,9,8,10,0,78,31
429,az zahra,الزهراء,24.6940872,46.7323217,Coffee,4,175,True,True,1,16,20,18,14,4,1,28,9
430,al mughrizat,المغرزات,24.7620261,46.71926759999999,Coffee,4,504,True,True,1,20,20,12,20,9,1,83,39
431,al wazarat,الوزارات,24.6687288,46.7132758,Restaurants,3,174,False,True,1,20,20,20,20,11,1,104,25
432,as safarat,السفارات,24.6743101,46.62356219999999,Coffee,4,173,True,True,0,11,6,12,9,18,0,57,28
433,qurtubah,قرطبة,24.8105448,46.7383383,Restaurants,2,173,True,True,1,20,20,14,20,6,1,74,20
434,an nuzhah,النزهة,24.7449346,46.7033507,Coffee,4,506,True,True,1,20,18,7,11,7,0,43,22
435,an narjis,النرجس,24.8122411,46.602225,Coffee,4,172,True,True,1,13,20,20,10,3,1,74,23
436,dhahrat namar,ظهرة نمار,24.561362,46.6014941,Coffee,4,171,True,True,0,12,6,2,6,3,0,81,5
437,ar rawdah,الروضة,24.7372493,46.7743164,Coffee,4,171,True,True,0,20,13,15,6,10,0,96,35
438,salah ad din,صلاح الدين,24.7389013,46.6881049,Coffee,4,507,True,True,1,20,16,10,6,12,0,11,20
439,salah ad din,صلاح الدين,24.7393409,46.69027879999999,Coffee,4,507,True,True,1,20,18,9,9,12,1,78,20
440,al izdihar,الازدهار,24.7764053,46.7081425,Coffee,4,507,True,True,1,20,20,14,18,9,1,19,39
441,ar rawabi,الروابي,24.684845,46.7925621,Coffee,4,171,True,True,0,20,11,13,16,6,0,28,10
442,al muruj,المروج,24.7465854,46.6594547,Coffee,4,171,True,True,1,20,20,20,14,10,1,112,14
443,as safa,الصفا,24.660029,46.78311799999999,Coffee,3,1355,False,True,0,15,7,6,0,2,0,80,6
444,ilaishah,عليشة,24.6312101,46.6921671,Restaurants,3,514,True,True,1,20,8,12,13,8,0,64,22
