,Unnamed: 0,place_id,name,name2,neighbhood,neighbhood2,nameAr,lat,lng,types,rating,user_ratings_total,rated1,rated2,rated3,rated4,rated5,delivery,dine_in,isLoved,schoolNum,companieNum,officeNum,HotelNum,parksNum,revenues,FemaleNonSaudi,MaleNonSaudi,FemaleSaudi,MaleSaudi,total_labor,Teens,20s,30s,40s,50s,60s,CompNum,isSuccessful
41,41,ChIJy0LHYakFLz4RjvaDxb2DOoY,Zaiqa Indian Restaurant,Zaiqa Indian Restaurant,Al Marqab,al marqab,المرقب,24.638431,46.7223786,Restaurants,4,114,0,0,0,76,38,True,True,0,20,20,20,17,13,125695,4074,25324,1689,3102,20179,4242,7275,8764,5019,2534,1031,22,1
42,42,ChIJsXncVAgFLz4RNSwTvzoBDu8,Indian Restaurant,Indian Restaurant,Al Marqab,al marqab,المرقب,24.636445,46.7198663,Restaurants,5,2,0,0,0,0,0,True,True,0,20,20,20,16,14,122124,4074,25324,1689,3102,20179,4242,7275,8764,5019,2534,1031,22,1
43,43,ChIJaXt7DY0FLz4RzRupw3zjPDo,Greenchilly Kerala Restaurant,Greenchilly kerala restaurant,Al Marqab,al marqab,المرقب,24.6342434,46.7209681,Restaurants,5,3,0,0,0,0,3,True,True,0,20,20,20,17,15,112982,4074,25324,1689,3102,20179,4242,7275,8764,5019,2534,1031,22,1
44,44,ChIJZVf4uLoFLz4RgEtGKP0bzx4,U. P. Restaurant,U. P. Restaurant,Al Marqab,al marqab,المرقب,24.635355,46.7196533,Restaurants,4,10,0,0,1,5,3,False,True,0,20,20,20,16,15,122124,4074,25324,1689,3102,20179,4242,7275,8764,5019,2534,1031,23,1
45,45,ChIJTQuHRuEFLz4Ri3EJNBH-qf4,Restaurant Pakistani Vip,Restaurant pakistani VIP,Al Marqab,al marqab,المرقب,24.6368579,46.7325555,Restaurants,3,4,0,0,0,0,0,True,True,0,20,20,20,17,5,95183,4074,25324,1689,3102,20179,4242,7275,8764,5019,2534,1031,13,1
46,46,ChIJuz2DNLcFLz4Rr8SAPOp5wYg,Mangalore Cafe,Mangalore Cafe,Al Marqab,al marqab,المرقب,24.6394498,46.7238114,Restaurants,4,7,0,0,2,0,4,True,True,1,20,20,20,17,12,106200,4074,25324,1689,3102,20179,4242,7275,8764,5019,2534,1031,22,1
47,47,ChIJh2PvVigFLz4RLarauIv7L-M,Thouba Restaurant,Thouba Restaurant,Al Marqab,al marqab,المرقب,24.639395,46.7247395,Restaurants,5,1,0,0,0,0,1,True,True,0,20,20,20,19,11,96078,4074,25324,1689,3102,20179,4242,7275,8764,5019,2534,1031,21,1
48,48,ChIJxzstYqMFLz4RXfXkaYUJG4U,مطعم الياسمين,مطعم الياسمين,Al Marqab,al marqab,المرقب,24.630596,46.7171611,Restaurants,4,21,4,4,0,8,4,False,True,0,20,20,20,15,13,128500,4074,25324,1689,3102,20179,4242,7275,8764,5019,2534,1031,24,1
49,49,ChIJSa2sr7oFLz4RfPbarf9OYVI,مطعم البطحاء الحديث اكلات شعبية,مطعم البطحاء الحديث اكلات شعبية,Al Marqab,al marqab,المرقب,24.6358184,46.7192953,Restaurants,4,200,25,0,25,75,75,False,True,0,20,20,20,16,14,122124,4074,25324,1689,3102,20179,4242,7275,8764,5019,2534,1031,22,1
50,50,ChIJQVQQ87AFLz4RFR2SjGZjduE,Charminar Hyderabadi Restaurant,Charminar Hyderabadi Restaurant,Al Marqab,al marqab,المرقب,24.6383656,46.7216628,Restaurants,3,79,0,0,0,39,39,True,True,1,20,20,20,17,14,128029,4074,25324,1689,3102,20179,4242,7275,8764,5019,2534,1031,22,1
51,51,ChIJjwDsYscFLz4RDAeDUiyuWqw,Tea Batha,Tea batha,Al Marqab,al marqab,المرقب,24.6393797,46.7185995,Coffee,3,2,1,0,0,0,1,True,True,1,20,20,20,17,14,132230,4074,25324,1689,3102,20179,4242,7275,8764,5019,2534,1031,25,1
52,52,ChIJMYwd3bUFLz4RAkhSz6CryMo,محل الاصاله بهارات,محل الاصاله بهارات,Al Marqab,al marqab,المرقب,24.6361034,46.7202337,Coffee,0,0,0,0,0,0,0,True,True,0,20,20,20,16,14,122907,4074,25324,1689,3102,20179,4242,7275,8764,5019,2534,1031,22,1
53,53,ChIJ16tcKrcFLz4R2sALpHVXbuU,Madeena Restaurant,MADEENA Restaurant,Thulaim,thulaim,ثليم,24.6402093,46.7238326,Restaurants,3,43,8,8,8,8,8,True,True,0,20,20,20,19,12,99355,5420,19512,1842,2980,17561,3691,6331,7627,4368,2206,897,22,1
54,54,ChIJwbjHreQFLz4Ru58ty4bT5s4,Sultan Thai Filipino Restaurant,SULTAN Thai Filipino Restaurant,Thulaim,thulaim,ثليم,24.6442414,46.7186664,Restaurants,4,37,5,0,15,10,5,True,True,1,20,20,20,17,12,128789,5420,19512,1842,2980,17561,3691,6331,7627,4368,2206,897,23,1
55,55,ChIJtarlzhIFLz4RQn_CT7mL15o,Madurai Metro Cafe,Madurai Metro Cafe,Thulaim,thulaim,ثليم,24.6401055,46.7210312,Restaurants,3,17,0,0,3,6,6,True,True,0,20,20,20,18,14,119862,5420,19512,1842,2980,17561,3691,6331,7627,4368,2206,897,22,1
56,56,ChIJc0jw6woFLz4RjU9R_dzp8UE,Taj Resturaunt - Pakistani - Indian,Taj Resturaunt - Pakistani - Indian,Thulaim,thulaim,ثليم,24.6401326,46.7190247,Restaurants,3,108,0,18,36,0,54,True,True,0,20,20,20,17,14,125877,5420,19512,1842,2980,17561,3691,6331,7627,4368,2206,897,23,1
