,nameAr,neighbhood,nameEn,cityId,neCoordinates,swCoordinates
1919,الصناعية,As Sinaiyah,as sinaiyah,3158,"23.62197030,46.54858208","23.61263746,46.54007866"
1920,المفيجر,Al Mufaiger,al mufaiger,3158,"23.61465388,46.58947363","23.60169533,46.55275055"
1921,السلام,As Salam,as salam,1228,"27.20623443,42.47213689","27.18084264,42.44544912"
1922,النهضة,An Nahdah,an nahdah,1228,"27.19041759,42.45314790","27.17177795,42.43648543"
1923,الصالحية,As Salhiyah,as salhiyah,1228,"27.19280119,42.49048567","27.15713725,42.44496118"
1924,الخليج,Al Khalij,al khalij,1228,"27.17400139,42.46155170","27.15436764,42.43718009"
1925,العزيزية,Al Aziziyah,al aziziyah,1228,"27.21637186,42.50184456","27.18315384,42.45851068"
1926,الازدهار,Al Izdihar,al izdihar,1228,"27.20323844,42.44957504","27.18047009,42.41460443"
1927,الورود,Al Wurud,al wurud,1228,"27.18877232,42.44283171","27.17529488,42.41839911"
1928,الملك عبدالله,King Abdullah,king abdullah,1228,"27.19977352,42.42883045","27.18914160,42.41211932"
1929,الحمراء,Al Hamra,al hamra,1228,"27.18177183,42.43974429","27.15720336,42.40405947"
1930,العليا,Al Ulaya,al ulaya,1228,"27.17186408,42.44236779","27.14613417,42.39878956"
1931,الصناعية,As Sinaiyah,as sinaiyah,1228,"27.15431333,42.43348932","27.13643110,42.41426703"
1932,المتحف,Al Mathaf,al mathaf,2777,"26.33731909,44.25639927","26.31988466,44.24449395"
1933,النخيل,An Nakhil,an nakhil,2777,"26.33208901,44.24551020","26.31855482,44.22466507"
1934,الشفاء,Ash Shifa,ash shifa,2777,"26.33461456,44.25081337","26.31858696,44.24017791"
1935,البلاد,Al Bilad,al bilad,2777,"26.33973065,44.26811780","26.32708688,44.25030905"
1936,الفاروق,Al Faruq,al faruq,2777,"26.31008068,44.26649987","26.30316942,44.25939149"
1937,برزة,Barzah,barzah,2777,"26.31362082,44.26406155","26.30848106,44.25934328"
1938,الواسط,Al Wasit,al wasit,2777,"26.31642561,44.27315355","26.30945217,44.26310541"
1939,البدع,Al Bada,al bada,2777,"26.32139166,44.26669947","26.31232879,44.25649608"
1940,الجال,Al Jal,al jal,2777,"26.32159931,44.27262026","26.31324114,44.26547707"
1941,الاندلس,Al Andalus,al andalus,2777,"26.32138675,44.25962301","26.30961127,44.25361378"
1942,الميدان,Al Midan,al midan,2777,"26.32065504,44.25706535","26.30748218,44.24683455"
1943,السلام,As Salam,as salam,2777,"26.31017196,44.26238070","26.28723727,44.25143738"
1944,الصفاء,As Safa,as safa,2777,"26.30668821,44.27124397","26.30298486,44.26625260"
1945,القادسية,Al Qadisiyah,al qadisiyah,2777,"26.31879214,44.24908619","26.30914707,44.23063972"
1946,الصناعية,As Sinaiyah,as sinaiyah,2777,"26.34437909,44.25030905","26.33462443,44.24205847"
1947,المتوكل,Al Mutawakil,al mutawakil,2777,"26.31173992,44.27375273","26.30493220,44.26591830"
1948,الخالدية,Al Khaldiyah,al khaldiyah,1248,"21.90904905,42.02283761","21.89896674,42.01281261"
1949,الناصرية,An Nasiriyah,an nasiriyah,1248,"21.90631943,42.02992263","21.89703001,42.02006318"
1950,الروضة,Ar Rawdah,ar rawdah,1248,"21.92497357,42.02958132","21.91359154,42.01900499"
