,place_id,name,types,price_level,rating,user_ratings_total,lat,lng,place,neighbhood,city,provinces,opeining_days,delivery,dine_in,schoolNum,companieNum,officeNum,HotelNum,parksNum,isLoved,rated1,rated2,rated3,rated4,rated5
1051,ChIJmf88uxofLz4RW8IXwMORkrw,مطعم القصر للمشويات,Restaurants,,4.0,675,24.6378597,46.5368581,حي لبن,الرياض,امارة منطقة الرياض,منطقة الرياض,7.0,True,True,19.0,12.0,3.0,7.0,1.0,1,3,2,0,1,4
1052,ChIJ9w_nfkgfLz4R1g3i7lpEsa0,مطعم اقل سعرات حراريه LOW CALORIE,Restaurants,,3.8,144,24.6297459,46.5411286,حائل,ظهرة لبن,الرياض,امارة منطقة الرياض,7.0,True,True,20.0,13.0,3.0,8.0,1.0,0,0,0,0,0,0
1053,ChIJFwanY1PjLj4RGOW74JIk66o,Palm Restaurant,Restaurants,,3.4,8,24.7703378,46.6047112,حطين,الرياض,امارة منطقة الرياض,منطقة الرياض,7.0,True,True,12.0,20.0,9.0,3.0,4.0,1,1,1,1,0,2
1054,ChIJc52a-O_jLj4Rp8G7LEnItcM,مطعم بارادوكس,Restaurants,,3.8,45,24.7640342,46.6043057,الرياض,امارة منطقة الرياض,منطقة الرياض,السعودية,,False,True,9.0,15.0,8.0,3.0,2.0,1,1,0,0,1,3
1055,ChIJrzh_gKXjLj4R-TB-TP5p8kA,El Lechazo Restaurant إل لِتشازو,Restaurants,,3.1,15,24.7652365,46.602192,طريق الأمير تركي بن عبدالعزيز,الأول،,الرياض,امارة منطقة الرياض,7.0,True,True,11.0,12.0,8.0,4.0,2.0,0,3,1,1,1,1
1056,ChIJnWqiRs7jLj4Rrt6r7VW2FgU,"Roma Restaurant, Boulevard world Branch |مطعم روما ، فرع البوليفارد وورلد",Restaurants,,0.0,0,24.7764726,46.6017881,حطين,امارة منطقة الرياض,منطقة الرياض,السعودية,7.0,False,True,14.0,18.0,9.0,2.0,3.0,0,0,0,0,0,0
1057,ChIJt9bypOHjLj4RntHf3DpaCZo,The Palm steakhouse,Restaurants,,4.4,16,24.7702268,46.6058708,حطين,الرياض,امارة منطقة الرياض,منطقة الرياض,7.0,False,True,12.0,20.0,8.0,4.0,5.0,1,2,0,0,1,3
1058,ChIJSSNP0gXjLj4Rt9UBP-ti5kY,HOO•GAH - Brunch & Moments,Restaurants,,4.3,315,24.7496306,46.6147283,حطين,الرياض,امارة منطقة الرياض,منطقة الرياض,7.0,True,True,9.0,16.0,8.0,5.0,3.0,0,1,1,1,3,3
1059,ChIJlWgz65XjLj4RZKMEHSJgOMo,One way burger,Restaurants,,3.3,18,24.7687013,46.6048141,القنطره،,حطين,الرياض,امارة منطقة الرياض,7.0,True,True,11.0,20.0,9.0,3.0,3.0,1,2,2,0,1,4
1060,ChIJB9Xp8DbiLj4RmXdbOKcXmJE,اوريجانو بيتزاريا,Restaurants,2.0,4.1,609,24.7529516,46.6102475,حطين,الرياض,امارة منطقة الرياض,منطقة الرياض,7.0,True,True,9.0,16.0,9.0,5.0,3.0,1,0,0,0,1,5
1061,ChIJCdl2FmvjLj4RT6oqo6vs2g0,مطعم روما,Restaurants,,4.1,237,24.7505755,46.613007,حطين,الرياض,امارة منطقة الرياض,السعودية,7.0,True,True,10.0,17.0,8.0,6.0,3.0,1,0,0,0,2,5
