,uri,title,price,content,area,street_width,age,street_direction,location.lat,location.lng,user.review,rent_period,city,city_id,district,district_id,width,length,daily_rentable
2205,حي-طريق-الملك-فهد-حي-الشميسي-الرياض-الرياض-4730105,محل للبيع في حي ، طريق الملك فهد ، حي الشميسي ، الرياض ، الرياض,1200000.0,محل للبيع سوق مكه التجاري بطريق الملك فهد المبنى الاول الدور الارضي مؤجر مجوهرات موقع مميز بالسوق مساحه المحل 33 مدخلين,33.0,60.0,,2.0,24.621687,46.70557,4.0,,الرياض,21,حي الشميسي,480,4.0,8.0,0.0
2208,شارع-العفو-حي-ظهرة-لبن-الرياض-الرياض-4730605,محل للإيجار في شارع العفو ، حي ظهرة لبن ، الرياض ، الرياض,10000.0,"محلات للايجار في حي لبن المتوفر محلين مثل ماهو موضح فالصور 
ويوجد في كل محل دورة مياه ومغسلة خارجية السعر 10000 الاف للمحل الواحد 
للاستفسارات التواصل على هذا الرقم 0555778595",40.0,30.0,,4.0,24.613186,46.493542,,,الرياض,21,حي ظهرة لبن,688,4.0,10.0,0.0
2210,شارع-أبي-الأسود-الدؤلي-حي-النسيم-الشرقي-الرياض-الرياض-4731175,محل للإيجار في شارع أبي الأسود الدؤلي ، حي النسيم الشرقي ، الرياض ، الرياض,100000.0,محل في عماره المسواك لطب الاسنان حي النسيم الشرقي موقع ممتاز جدا كصيدليه او اي نشاط يتناسب مع المركز الطبي,107.0,29.0,,2.0,24.743296,46.83979,4.0,,الرياض,21,حي النسيم الشرقي,604,8.0,13.0,0.0
2213,شارع-نجد-حي-ظهرة-لبن-الرياض-الرياض-4731731,محل للإيجار في شارع نجد ، حي ظهرة لبن ، الرياض ، الرياض,30000.0,"محل فتحة واحده للايجار في ضاحية لبن شارع نجد المساحة ١٢٤
للمفاهمة الاتصال على رقم الجوال 0554400925",124.0,60.0,,2.0,24.618483,46.534473,4.0,,الرياض,21,حي ظهرة لبن,688,4.0,31.0,0.0
2214,حي-غرناطة-الرياض-الرياض-4731772,محل للبيع في حي غرناطة ، الرياض ، الرياض,70000.0,"صالون حلاقة مجهز بالكامل ديكورات راقية وجبس وإضاءة والمستلزمات من 4 كراسي حلاقة ومغسلة خاصة لكل حلاق وعوازل الكراسي وكرسي خاص لغسيل الشعر و أجهزة تعقيم وجهاز تسخين الفوط وجهاز حمام زيت وأجهزة بخار وأدوات أخرى وكاميرات ودواليب وجلسة كنبات وطاولات وتلفزيون ورسيفر وستائر ومكيفات سبليت ودورة مياه 
كلفني تجهيزه 200 ألف ريال وأود تقبيله ب 70 ألف ريال لعدم التفرغ علما أن إيجاره 35 ألف بالسنة وباقي بإيجاره 3 شهور ومالك العمارة شخص طيب ومتعاون
الدخل الشهري بين 18 و 28 ألف وفيه حلاق محترف ممكن نقل كفالة",60.0,30.0,4.0,4.0,24.786116,46.744408,,,الرياض,21,حي الشهداء,482,8.0,7.0,0.0
2215,طريق-الامام-سعود-بن-فيصل-حي-الملقا-الرياض-الرياض-4731964,محل للإيجار في طريق الامام سعود بن فيصل ، حي الملقا ، الرياض ، الرياض,80000.0,للايجار محل قريب من حى الملقا وحى العقيق ع طريق الامام سعودي الايجار السنوي 80الف المساحه 56متر التواصل 0551993053,56.0,40.0,5.0,1.0,24.791349,46.624672,4.21,,الرياض,21,حي الملقا,570,5.0,11.0,0.0
2217,شارع-أبي-عبيدة-عامر-بن-الجراح-حي-السلي-الرياض-الرياض-4732684,محل للإيجار في شارع أبي عبيدة عامر بن الجراح ، حي السلي ، الرياض ، الرياض,90000.0,"عبارة عن محل ميزانين في عمارة تجارية ومكاتب  ادارية يقع في حي السلي قبل بوابة الحرس الوطني بحوالي 250 متر ويفتح شمال  مساحة 120 تقريباً  بجوار مطعم الطازج وموبايلي ..

للاستفسار : 

0550111212 

سعد المطيري",120.0,60.0,8.0,1.0,24.690104,46.854343,5.0,,الرياض,21,حي السلي,466,6.0,20.0,0.0
2221,حي-الريان-الرياض-الرياض-4733716,محل للبيع في حي الريان ، الرياض ، الرياض,90000.0,"محل حلويات واسر منتجه بإسم مميز للتقبيل \\\""لعدم التفرغ\\\""
في موقع مميز وشارع حيوي ( حي الريان - شارع احمد بن حنبل )
المحل مجهز بالكامل وتم افتتاحه نهاية رمضان
- يحتوي على جهاز كمبيوتر وبرنامج كاشير فوتره الكترونيه
- كاميرات مراقبه وشاشه
- عدد ١ ثلاجه كبيره و ١ ثلاجه مشروبات
و1ثلاجات عرض و ٢ فريزر
- مكتب زجاجي ومغسله
- استيكرات وكروت واكياس خاصه
- ٣ مكيفات راكبه
- حساب انستقرام نشط متابعينه ١٠ الاف و حساب سناب شات
- يوجد متجر الكتروني خاص بالمحل وموجود في تطبيقات التوصيل ( هنقرستيشن و جاهز )",55.0,30.0,,4.0,24.707052,46.785557,,,الرياض,21,حي الريان,454,5.0,11.0,0.0
2223,شارع-ابن-الجوزي-حي-ظهرة-البديعة-الرياض-الرياض-4733751,محل للإيجار في شارع ابن الجوزي ، حي ظهرة البديعة ، الرياض ، الرياض,12000.0,"محل للإيجار شبه موثث مكيف اسبلت ١٨ وكاميرات مراقبه وباب قزاز وسقف ديكور وسيراميك وفاصل حمام ومغسله وطاوله خشب وكرسي وكرسي خارجي للإيجار فقط مو تقبيل  تايمر لتشغيل واقفال انوار المحل 
السعر دفعه واحده ١٢٠٠٠ ريال 
دفعتين كل دفعه ٦٩٠٠ ريال
٤ دفعات كل دفعه ٤٢٥٠ ريال 
شهري ١٢ دفعه السعر ١٩٠٠ ريال 
الماء سنه كامله ٥٠٠ ريال للاستخدام الشخصي
تأمين مسترد عند الخروج ١٥٠٠ ريال 
سعي ٩٠٠ ريال",34.0,40.0,8.0,1.0,24.599371,46.637496,4.35,,الرياض,21,حي ظهرة البديعة,686,4.0,9.0,0.0
2224,الرياض-حي-الملك-فهد-الرياض-4734374,محل للإيجار في الرياض ، حي الملك فهد ، الرياض,210000.0,"معارض للايجار عدد 2 على طريق الامام بحي الملك فهد 
متجاوره كل معرض مساحته 270 متر بالميزانين 
الايجار 210 الف ريال 
فترة سماح شهر واحد",270.0,60.0,,1.0,24.750702,46.671417,4.3,,الرياض,21,حي الملك فهد,576,5.0,54.0,0.0
