,place_id,isLoved,rated1,rated2,rated3,rated4,rated5
113,ChIJ0yK2sIQPLz4RZHd27HjDpEs,1,0,1,1,0,3
114,ChIJ0yLJyfP9ST4RNOksnykUNZE,1,0,1,1,1,6
115,ChIJ0yVPp5_CST4RPR1TaknfH9g,1,1,0,1,1,5
116,ChIJ0yW0nW6RNz4REvzsXStSxBA,1,0,0,1,0,6
117,ChIJ0ybKecAbLz4RQglLv9SEuBc,1,0,0,1,1,8
118,ChIJ0yhHij0HLz4RNPNKRtGt2TE,1,0,0,2,1,5
119,ChIJ0z-9QxT9ST4RvbPMbz3Yfcc,1,0,0,0,1,5
120,ChIJ0zRc3GcPLz4RN38QZiH6QsM,1,1,0,0,0,4
121,ChIJ0zZWnQf9ST4RjlTLAaH4H9c,0,0,0,0,1,1
122,ChIJ0zrTeZIHLz4RYpkW5BdNuiE,0,0,0,2,3,3
123,ChIJ1-hZid8BLz4RWjxyaGsOhNg,0,0,0,0,1,8
124,ChIJ11u8ijnmST4RWacmW85G11M,0,1,0,0,1,5
125,ChIJ12IObSXoST4RVKC_bjVHsFA,0,0,0,2,2,3
126,ChIJ130GRjrjLj4RKa0Ab3dkxwQ,0,1,1,0,1,5
127,ChIJ14HWohQCNj4RkRS0XTuYaHU,0,3,0,1,0,2
128,ChIJ165XJ-ofNj4R-sI3B7EafwE,0,0,1,1,1,5
129,ChIJ166TfUTvST4RjoHE9tfe8Ko,0,0,0,2,1,4
130,ChIJ16Mmrx8ALz4Rc5EUArH7fv0,0,3,0,2,0,3
131,ChIJ16sfLVcRNT4RiY66CYuzkwE,0,1,0,0,2,2
132,ChIJ16tcKrcFLz4R2sALpHVXbuU,0,1,1,1,1,1
133,ChIJ17VlgsD_Lj4R-osW3cJ5j2c,0,0,0,1,1,7
134,ChIJ17hpilr8Lj4RhkZ1DfSIfjE,1,0,1,0,0,4
135,ChIJ18ZKW8YCLz4RsdAiNMo9L98,1,0,0,0,2,5
136,ChIJ18_VesjDST4RK1DErDb9PhI,1,0,0,0,0,6
137,ChIJ19zdm3n7ST4RQwxajOCDZu0,1,0,0,0,1,7
138,ChIJ1Q0oZWawNz4RGQJYCKBNyXU,1,0,1,4,0,2
139,ChIJ1QOR9WwLNT4R6P6OVpIQ-Q4,1,0,0,1,1,3
140,ChIJ1Qzwz50DNj4RIcgzIEbvT2M,1,0,0,3,1,2
141,ChIJ1R2N14y9Nz4RdGVEwC5u6Aw,1,0,1,1,2,2
142,ChIJ1RXh_NAZLz4RD1mUh24b3gk,0,0,0,0,0,1
143,ChIJ1SSXstkZLz4R6dLv0OdTsR4,0,1,0,0,3,4
144,ChIJ1SZUF9YELz4REOQ9BVOR6z4,0,1,0,0,1,4
145,ChIJ1ShjTz77ST4RmmXn_RJlHqw,0,0,0,0,0,6
146,ChIJ1TdaoQwHLz4RVGE3zmmf7-8,0,0,0,1,4,3
147,ChIJ1TjX2UD9Lj4Rr8YTn4ZgLvs,0,0,0,1,2,6
148,ChIJ1WJVRrvkLj4Rzs_sxNr5S_4,1,0,1,1,0,5
149,ChIJ1Wu4Hc3pST4RLsZibU4KCS0,0,0,0,0,0,1
150,ChIJ1XvPsI_9ST4RrNSLLV-JQ4k,0,4,0,1,2,2
151,ChIJ1YaITzbjST4R6YSfS38N_Tg,0,2,0,2,0,2
152,ChIJ1YbKZDX9Lj4R5WMjHbuti5M,0,1,1,0,1,3
153,ChIJ1YwtWzvrNz4Rehx26r4RJDs,0,0,0,0,1,5
154,ChIJ1YzMpcDCST4RxxWkhQVnNjc,0,0,1,1,1,4
155,ChIJ1Z9CGxD8ST4RccnZ6MMNHDw,1,1,0,2,2,4
156,ChIJ1ZR0EyEPNT4RVkkVMDnsqRs,1,0,0,1,2,7
157,ChIJ1ZxNAyoHLz4RrEoa632DmH4,1,0,1,0,2,4
158,ChIJ1_Hpa_D9ST4R7oUKjU9wwvI,1,1,0,1,1,4
159,ChIJ1_JhbHsQLz4RCVyChzSL9BU,1,1,0,0,2,5
160,ChIJ1aDefxMELz4RBrl1k58Wbzo,1,1,0,0,3,1
161,ChIJ1anc0gUdLz4R04Zvmd8ry-E,1,1,1,0,1,4
162,ChIJ1b2k0Z8DNj4RFS98i-10XeA,1,1,3,0,1,1
163,ChIJ1bQ3ybsDLz4RgiStd3T4KUM,1,0,0,0,1,7
164,ChIJ1cNfqBIDLz4RGySeciH5Z70,1,1,0,0,0,6
165,ChIJ1f1b41n-Lj4RxP4SwGdrOvE,1,2,1,0,1,3
166,ChIJ1w4c3lf7ST4R5pEcJil_bDM,1,1,1,0,0,4
167,ChIJ1wDp66-gNT4RlGW6dmpBvzI,1,2,0,0,0,0
168,ChIJ1wnlGS3_Lj4RuKeSmOHAFtw,0,1,0,2,2,4
169,ChIJ1x5LWFjlST4R6uz6E7McOw8,0,0,0,1,1,7
170,ChIJ1xJ61fwONT4RDYNTLfkw9Cs,0,5,0,0,1,0
171,ChIJ1xJ_XXKhNT4RqBZlVz2g3r0,0,0,1,2,0,2
172,ChIJ1xVxJyyhgBURCxNZZvWV3RU,0,1,1,1,1,5
173,ChIJ1xz2Ji3vLj4R1O4pdriRh2I,0,0,1,1,1,5
174,ChIJ1yms1rYFLz4RppzDm5rH7ZI,0,1,0,1,2,2
175,ChIJ1yu4zyf9ST4R_HF-26focHE,0,2,0,0,1,2
176,ChIJ2-Jecxj9Lj4RONSy_lMV9B0,1,0,0,0,2,6
177,ChIJ200-3-4fLz4RHDIy-mJG2Cc,1,2,0,0,1,3
178,ChIJ202LuT_jLj4RDn4Gfk-rxss,1,0,0,0,0,5
179,ChIJ207patXpST4RTeRe70CiHbE,1,1,0,0,1,5
180,ChIJ20Lj6i7jST4RpAPDoVeVqpE,1,0,0,0,0,2
181,ChIJ20XooG6XNz4R5VVyZszRFzg,0,1,0,0,1,5
182,ChIJ20c1UXsdLz4RZ3hsOozAqZY,0,1,2,0,0,2
183,ChIJ210Ps-_sNz4RpZohRZc0HBU,0,1,1,0,2,2
184,ChIJ214UC1mXNz4RAI1WmbLBLyI,0,2,0,0,1,5
185,ChIJ22P5WavDST4RAhrnMfmvrxQ,0,0,0,1,0,1
186,ChIJ22bMBqKrLz4RyInRUGtY8W0,0,3,0,1,1,2
187,ChIJ237RnqIZLz4R0aG9eUYLRd0,0,0,0,0,0,7
188,ChIJ23MwiXgFLz4RCKSLLUvsjnI,0,0,0,1,0,6
189,ChIJ23fOdr_lST4ROkobiv2d_kw,0,1,0,0,2,3
190,ChIJ23yHoisDLz4RS27-l2Vi59k,0,3,1,1,0,0
191,ChIJ244aKXQBLz4RoEi9rVOV4-g,0,1,0,0,0,5
192,ChIJ24xfibX9ST4R25mvpZe7fKQ,1,3,0,1,1,0
193,ChIJ26_29KodLz4R9wSuI5dvWaE,1,1,0,1,0,6
194,ChIJ27-JX7oRLz4RB9Xr-s-9Kxw,1,1,0,0,2,6
195,ChIJ27JnIjgFLz4RjA87l7krbFQ,0,0,0,0,0,2
196,ChIJ29yEMKYPLz4RKi80-_cxfLw,0,0,1,0,2,5
197,ChIJ2QZIEWT9Lj4Rup_V1koSv9c,0,0,1,2,1,5
198,ChIJ2Qq6L_uhNT4RrtUeQUe19nA,0,0,1,1,0,4
199,ChIJ2Rm63PnjLj4RX1d4oNVbX4Y,0,1,1,0,4,2
200,ChIJ2SNe4SiXNz4RkhRttDxgi2c,0,1,0,0,2,2
201,ChIJ2SW2oBMQNT4R1yCQGexfrmY,0,0,0,2,3,4
202,ChIJ2TePmdrnST4R1lrtDB84kPM,0,0,0,1,2,3
203,ChIJ2UYcGbMdLz4RC5YylvshQ5g,0,2,1,4,2,0
204,ChIJ2Uj5NSABLz4RgndrmhMcNFk,0,0,0,0,0,6
205,ChIJ2WkYxQKqLz4RTAAlLR5bNY4,0,3,0,0,1,2
206,ChIJ2Xxrz52rLz4ReiVNAlS5k-s,0,2,1,1,1,5
207,ChIJ2YaQjiWhNT4RIO_QquxxWzQ,1,0,0,0,0,3
208,ChIJ2ZHHJigfLz4R26JGoPfNbzw,1,0,0,3,0,3
209,ChIJ2_GWfg39ST4RSTPTu7ZYUog,1,6,0,0,0,1
210,ChIJ2caw8ogQLz4Rod35XYecIt4,1,0,1,1,2,4
211,ChIJ2cgK61voST4RbJVtA-tA7oM,0,0,0,2,0,6
212,ChIJ2ciIJa77ST4RCvg-8FHDQes,1,0,0,1,2,5
213,ChIJ2cigjvmgNT4Rjr7OC_foO_4,1,0,2,1,1,1
214,ChIJ2duy_JXhLj4RMndEPGgBXh0,1,0,0,2,3,5
215,ChIJ2dzGLQXoST4RZlhadyLdIjg,1,1,0,0,2,2
216,ChIJ2f_XSywdLz4RHN7qsatPKNo,1,0,0,1,1,4
217,ChIJ2wOaBy6WNz4RKs6WEJWOJeE,1,0,1,2,2,2
218,ChIJ2wcoiJAdLz4RYl7WpK_V_Kc,1,0,0,0,2,5
219,ChIJ2wt1SbvkLj4RetOtxssBItA,1,0,1,2,2,3
220,ChIJ2wyq-2vDST4RvjuL5PaxOVo,1,2,0,0,1,3
221,ChIJ2x6jraj9Lj4RU92fIYlcQeg,1,0,0,1,0,1
222,ChIJ2xP3Di3oST4RG_yCA0KGodM,1,1,0,4,2,3
223,ChIJ2xgR_Ei9Nz4RRoWJUuFXbmo,1,2,0,0,2,4
224,ChIJ2y9epkP9Lj4Rq3DDyJkxoyo,1,2,0,2,0,2
225,ChIJ2yyFdSLlLj4RrIwjqBCSl8w,1,1,0,2,2,3
226,ChIJ3-3z6EkPLz4RkpgsIUFxp5E,1,1,0,1,0,4
227,ChIJ3-4-DUnjLj4RYrztFkNsN1w,1,2,0,1,0,5
228,ChIJ3-XfZVz8Lj4RVUNsFmr6M1g,1,1,0,0,1,3
229,ChIJ30K_P6D_Lj4RUVI5eIp7Cfw,1,1,0,0,2,3
230,ChIJ30QW3t7DST4R5iMrHTM5YEQ,1,0,1,0,0,5
231,ChIJ31ykslDoST4RXEQU9eRGcVE,1,0,0,1,3,2
232,ChIJ32wZNnoDLz4R2GPydC-kOjo,1,2,0,0,0,4
233,ChIJ33H3w5MjLz4R3rJEI-8H9x8,1,2,0,2,1,3
234,ChIJ33fXahUDLz4RR1IOMpsnS2w,1,2,1,0,2,4
235,ChIJ33pnfgm9Nz4Rans4c6YF4uw,1,0,0,0,3,4
236,ChIJ34ECYEHlST4RAIvmlc18k28,0,1,0,1,1,2
237,ChIJ34rHZSEFLz4RWX9PkhRMPWM,0,0,0,0,0,6
238,ChIJ34tj9P7kST4R7aOOzpRR2Ms,0,0,0,1,1,7
239,ChIJ351FYe2gNT4RYE1wr2ckfUw,1,1,1,0,2,4
240,ChIJ36q9ECv9ST4RSgYdjUpBb-4,1,0,0,0,0,7
241,ChIJ37-afmiWNz4RU-gY1cb-kV4,1,1,0,1,2,2
242,ChIJ37lKMjWXNz4RYo9ZxtvycJQ,1,2,0,0,2,4
243,ChIJ37mPZwr_Lj4RAJZ9WsdxJvo,1,4,0,0,0,6
